Subject,File,Task,Total_Distance,Average_Mouse_Speed,Max_Speed,Total_Time,Mouse_Sensible_Pause_Count,Average_Pause_Time,Average_Absolute_Acceleration,Max_Acceleration,Min_Acceleration,Action_Pause_Time,Avg_of_All_Pauses_Time,Mouse_Pause_Time,Key_Pause_Time,Episodes_Count,Direction_Changes,Total_Angle_Changes,Average_X_Direction_Speed,Average_Y_Direction_Speed,Average_X_Accel,Average_Y_Accel,Max_X_Speed,Max_Y_Speed,Max_X_Accel,Max_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Menu_Navigation_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time
02,ui-log_火_10-12-2024_19-03-36.txt,training,27357.56,319.42,55810.19,103.508,36,2.15,96803.26,11715783.38,-2936641.32,1.01,0.04,0.05,0.00,37,48,46578.56,242.22,138.17,96803.26,32149.58,55666.67,8000.00,11680555.56,6666666.67,1.95,39,135.62,1.57,0.02,22,2,4.75,0.61,0.00
02,ui-log_火_10-12-2024_19-08-24.txt,task_01,33093.07,112.27,35427.55,335.109,249,1.00,17993.74,26758674.14,-2104220.71,0.36,0.05,0.06,4.14,250,112,150158.86,78.35,60.97,17993.74,11248.34,33333.33,18000.00,20666666.67,17000000.00,0.89,270,76.50,4.62,0.03,63,5,7.00,0.66,4.60
02,ui-log_火_10-12-2024_19-18-32.txt,task_02,23739.35,229.75,43046.49,123.477,110,0.73,30792.77,41214155.19,-2538011.58,0.22,0.03,0.04,2.49,111,69,83516.38,152.34,136.08,30792.77,6861.17,43000.00,4800.00,41181818.18,1772727.27,0.56,133,96.04,1.72,0.02,62,6,4.56,0.77,3.55
02,ui-log_火_10-12-2024_19-21-16.txt,task_03,18737.33,337.53,9024.66,77.2,59,0.82,15415.27,5358711.85,-352754.95,0.21,0.03,0.04,1.25,60,31,48346.87,223.97,195.37,15415.27,10572.45,9000.00,4000.00,3733333.33,3866666.67,0.67,65,77.62,2.86,0.02,51,4,5.50,0.34,2.93
02,ui-log_火_10-12-2024_19-22-49.txt,task_04,19595.34,354.07,71784.40,66.721,66,0.55,64461.47,31443072.63,-7826553.91,0.12,0.02,0.03,1.84,67,43,52206.73,227.03,218.72,64461.47,30301.87,68000.00,25000.00,28687500.00,12875000.00,0.45,69,71.87,1.20,0.02,48,4,4.29,0.39,2.85
02,ui-log_火_10-12-2024_19-24-10.txt,task_05,21084.66,388.40,15000.00,67.69,48,0.75,36726.11,13571428.57,-1146704.05,0.13,0.02,0.03,1.42,49,38,51069.90,237.26,250.19,36726.11,26496.39,12000.00,9000.00,10857142.86,8142857.14,0.56,58,125.03,1.47,0.02,45,4,5.67,0.45,3.13
02,ui-log_火_10-12-2024_19-35-19.txt,task_06,17278.16,384.97,6403.12,58.092,48,0.62,13327.66,1246919.46,-398416.62,0.14,0.02,0.03,1.06,49,30,44708.57,233.29,256.20,13327.66,10348.04,5000.00,5000.00,1466666.67,1050000.00,0.47,56,109.33,1.30,0.07,39,3,4.67,0.62,2.78
02,ui-log_火_10-12-2024_19-36-20.txt,task_07,21321.78,407.46,61777.83,68.642,62,0.63,62266.70,30832442.47,-5446114.95,0.18,0.03,0.03,1.37,63,30,48271.52,289.28,235.55,62266.70,42134.89,47500.00,39500.00,23708439.54,19711767.20,0.51,70,126.22,2.04,0.02,28,2,2.43,0.44,2.55
02,ui-log_火_10-12-2024_19-37-36.txt,task_08,16907.40,520.33,12046.21,52.356,45,0.63,20985.69,2539486.97,-663396.75,0.21,0.03,0.03,1.16,46,24,41406.61,348.19,322.83,20985.69,12126.19,11666.67,5600.00,2481481.48,1437500.00,0.51,48,72.31,1.27,0.02,16,2,1.67,0.36,2.73
02,ui-log_火_10-12-2024_19-38-44.txt,task_09,17296.83,453.16,48259.71,57.73,51,0.56,51689.12,45086338.48,-2874687.82,0.22,0.03,0.03,1.69,52,34,46772.08,320.08,248.06,51689.12,30004.78,40000.00,27000.00,37312500.00,25312500.00,0.49,58,66.46,1.10,0.02,18,2,4.00,0.38,2.78
