Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count_proximity_threshold_10,Repeated_Mouse_Patterns_Count_proximity_threshold_20,Repeated_Mouse_Patterns_Count_proximity_threshold_30,Repeated_Mouse_Patterns_Count_proximity_threshold_40,Repeated_Mouse_Patterns_Count_proximity_threshold_50,Repeated_Mouse_Patterns_Count_proximity_threshold_60,Repeated_Mouse_Patterns_Count_proximity_threshold_70,Repeated_Mouse_Patterns_Count_proximity_threshold_80,Repeated_Mouse_Patterns_Count_proximity_threshold_90,Repeated_Mouse_Patterns_Count_proximity_threshold_100,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density_Window,Interaction_Density_Over_Task
01,ui-log_土_7-12-2024_15-46-20.txt,task_10,22594.31,605.32,10778.85,60.461,55,0.5914,30012.03,8572754.89,-1037622.36,0.20,0.02,0.03,0.95,56,38,45466.34,423.83,326.44,24574.13,19045.98,9000.00,7428.57,8608695.65,2173913.04,0.40,67,175.37,0.08,1.30,61,6,7.50,0.45,3.88,0.0351,0,0,0,0,0,0,0,0,0,0,0.4955,426.08,45.09,45.09
01,ui-log_土_7-12-2024_15-52-22.txt,task_11,26826.07,610.65,13583.45,66.032,60,0.6425,33327.75,687074.83,-487413.71,0.20,0.02,0.03,1.03,61,43,51978.83,379.12,387.06,24921.14,23983.05,9000.00,13571.43,687500.00,687074.83,0.44,76,258.24,0.06,1.45,68,6,8.83,0.60,3.07,0.0338,0,0,2,8,8,12,12,14,14,14,0.4485,415.86,40.59,40.59
01,ui-log_土_7-12-2024_15-53-40.txt,task_12,25073.26,507.16,16250.00,74.562,71,0.5828,28717.95,3809032.01,-1003086.42,0.21,0.02,0.03,0.93,72,52,51066.00,337.19,284.49,21973.35,18159.31,16250.00,9625.00,4051518.09,458049.89,0.41,86,223.44,0.10,1.85,89,6,10.86,0.41,5.10,0.0355,0,0,2,6,10,14,16,20,22,24,0.4557,494.67,41.17,41.17
01,ui-log_土_7-12-2024_15-55-19.txt,task_13,21965.05,685.68,11131.32,55.028,46,0.6596,28747.11,506869.16,-506869.16,0.20,0.02,0.03,0.86,47,34,38671.60,449.16,434.71,21509.17,20984.90,9857.14,9125.00,622574.96,451923.08,0.39,67,175.54,0.04,1.17,60,4,10.25,0.45,3.77,0.0307,0,0,0,0,0,0,0,0,0,0,0.5191,501.76,44.49,44.49
01,ui-log_土_7-12-2024_15-56-25.txt,task_14,25812.79,557.87,13694.20,66.407,62,0.5916,31549.40,736176.59,-360977.32,0.32,0.02,0.03,0.97,63,53,51418.62,403.54,291.53,24978.45,20794.17,13625.00,8500.00,711538.46,454081.63,0.41,79,188.28,0.08,2.18,90,4,15.50,0.57,2.83,0.0348,0,0,2,4,6,6,8,10,10,12,0.4594,469.66,43.22,43.22
01,ui-log_土_7-12-2024_15-57-44.txt,task_15,24541.58,626.60,12349.09,61.819,57,0.6106,36444.39,5570392.22,-1023532.47,0.23,0.02,0.03,1.13,58,46,42662.83,432.12,363.77,28691.09,24554.36,10500.00,7428.57,4700000.00,3000000.00,0.41,74,231.77,0.07,2.44,96,4,17.60,0.67,3.36,0.0303,0,0,0,0,0,0,0,0,0,0,0.4623,428.63,43.77,43.77
02,ui-log_火_10-12-2024_19-03-36.txt,training,27357.56,319.42,55810.19,103.508,36,2.1491,96803.26,11715783.38,-2936641.32,1.01,0.04,0.05,0.00,37,48,46578.56,242.22,138.17,82425.78,32149.58,55666.67,8000.00,11680555.56,6666666.67,1.95,39,135.62,0.08,1.57,22,2,4.75,0.61,0.00,0.0297,0,2,6,6,8,8,8,8,8,8,0.6989,1411.34,22.27,22.27
02,ui-log_火_10-12-2024_19-08-24.txt,task_01,33093.07,112.27,35427.55,335.109,249,0.9992,17993.74,26758674.14,-2104220.71,0.36,0.05,0.06,4.14,250,112,150158.86,78.35,60.97,13825.73,11248.34,33333.33,18000.00,20666666.67,17000000.00,0.89,270,76.50,0.41,4.62,63,5,7.00,0.66,4.60,0.0792,28,50,58,68,72,84,84,92,102,108,0.3445,397.78,19.86,19.86
02,ui-log_火_10-12-2024_19-18-32.txt,task_02,23739.35,229.75,43046.49,123.477,110,0.7252,30792.77,41214155.19,-2538011.58,0.22,0.03,0.04,2.49,111,69,83516.38,152.34,136.08,28623.13,6861.17,43000.00,4800.00,41181818.18,1772727.27,0.56,133,96.04,0.13,1.72,62,6,4.56,0.77,3.55,0.0614,4,10,30,52,66,74,82,96,102,110,0.3902,523.15,30.67,30.67
02,ui-log_火_10-12-2024_19-21-16.txt,task_03,18737.33,337.53,9024.66,77.2,59,0.8170,15415.27,5358711.85,-352754.95,0.21,0.03,0.04,1.25,60,31,48346.87,223.97,195.37,10483.70,10572.45,9000.00,4000.00,3733333.33,3866666.67,0.67,65,77.62,0.24,2.86,51,4,5.50,0.34,2.93,0.0450,2,2,4,4,4,4,4,4,4,4,0.4807,475.57,34.37,34.37
02,ui-log_火_10-12-2024_19-22-49.txt,task_04,19595.34,354.07,71784.40,66.721,66,0.5464,64461.47,31443072.63,-7826553.91,0.12,0.02,0.03,1.84,67,43,52206.73,227.03,218.72,54195.38,30301.87,68000.00,25000.00,28687500.00,12875000.00,0.45,69,71.87,0.10,1.20,48,4,4.29,0.39,2.85,0.0465,42,46,48,50,52,52,60,64,64,64,0.4552,506.08,40.99,40.99
02,ui-log_火_10-12-2024_19-24-10.txt,task_05,21084.66,388.40,15000.00,67.69,48,0.7466,36726.11,13571428.57,-1146704.05,0.13,0.02,0.03,1.42,49,38,51069.90,237.26,250.19,23404.36,26496.39,12000.00,9000.00,10857142.86,8142857.14,0.56,58,125.03,0.11,1.47,45,4,5.67,0.45,3.13,0.0423,4,6,6,6,6,6,12,14,16,16,0.6354,601.57,41.72,41.72
