Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Avg_Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density
24,ui-log_月_6-1-2025_12-19-52.txt,task_03,16725.21,151.75,12806.25,130.928,88,0.9516,17868.63,649890.72,-524137.50,0.33,0.03,0.04,1.34,89,43,76438.32,98.64,91.11,14149.35,13371.93,10000.00,8000.00,395061.73,658227.85,0.74,108,90.93,0.07,1.48,50,6,6.17,0.80,4.80,0.0798,38,0.5241,634.43,29.05
24,ui-log_月_6-1-2025_12-23-34.txt,task_04,23259.81,300.16,9947.82,116.427,109,0.5981,20886.22,575727.17,-291199.78,0.25,0.03,0.03,1.17,110,65,93700.39,181.48,191.89,15320.45,16205.08,8142.86,8250.00,342403.63,578125.00,0.47,123,112.66,0.10,1.18,89,12,5.00,0.51,5.45,0.0703,222,0.4632,490.29,39.70
24,ui-log_月_6-1-2025_12-26-11.txt,task_05,16929.62,315.66,14647.87,75.018,63,0.6074,20945.64,1058175.12,-749692.70,0.18,0.02,0.03,1.09,64,41,63352.10,198.06,194.87,16199.20,15423.70,12000.00,8400.00,694723.49,813365.76,0.43,77,134.59,0.07,1.10,59,6,6.00,0.48,4.44,0.0653,2,0.5721,575.36,44.12
24,ui-log_月_6-1-2025_12-32-11.txt,task_06,21100.93,319.77,9285.71,96.205,87,0.5847,22903.52,428056.22,-348816.81,0.25,0.02,0.03,1.38,88,43,78021.46,200.60,194.28,17513.07,16668.94,7428.57,6285.71,306878.31,319727.89,0.45,101,93.26,0.08,1.42,62,6,5.33,0.74,4.12,0.0645,88,0.5081,533.14,42.76
24,ui-log_月_6-1-2025_12-34-13.txt,task_07,15485.67,301.94,7267.22,80.092,63,0.7836,20435.50,298550.63,-298550.63,0.34,0.03,0.03,0.95,64,32,55870.81,188.02,184.29,15913.00,15351.32,5000.00,7250.00,277777.78,222222.22,0.55,82,126.94,0.10,1.40,58,6,6.50,0.47,3.67,0.0630,2,0.4745,487.10,36.87
24,ui-log_月_6-1-2025_12-35-49.txt,task_08,15262.14,352.52,8182.86,71.907,42,0.9204,19445.23,658375.43,-249775.09,0.41,0.02,0.03,1.32,43,25,53173.06,220.58,218.78,15507.04,14144.12,6750.00,7857.14,661111.11,285714.29,0.54,64,106.24,0.11,1.20,45,6,5.50,0.41,3.68,0.0608,0,0.7732,760.10,40.94
24,ui-log_月_6-1-2025_12-37-15.txt,task_09,15524.43,399.10,10025.48,57.988,56,0.5067,23417.58,5557503.17,-586155.15,0.22,0.02,0.03,0.88,57,26,49132.88,256.29,242.66,18826.20,16417.40,7571.43,6571.43,4768115.94,2855072.46,0.38,62,116.52,0.07,1.01,52,6,5.17,0.44,3.64,0.0552,30,0.5150,446.91,45.61
24,ui-log_月_6-1-2025_12-38-29.txt,task_10,16432.30,354.07,11852.10,66.82,63,0.5754,23635.09,743255.66,-465064.83,0.25,0.02,0.03,1.14,64,35,53982.20,233.33,211.52,18751.38,16787.53,10666.67,5750.00,711111.11,296875.00,0.44,70,110.10,0.06,0.95,51,6,5.83,0.38,3.99,0.0573,40,0.4752,554.62,41.48
24,ui-log_月_6-1-2025_12-42-35.txt,task_11,16913.65,410.03,8724.82,67.49,64,0.5698,24482.81,518402.23,-286759.38,0.29,0.02,0.03,0.96,65,36,51780.49,269.56,238.91,19422.14,16743.82,6714.29,6142.86,484848.48,353741.50,0.37,84,137.08,0.06,1.07,47,6,5.83,0.50,5.28,0.0534,36,0.4749,418.39,42.12
24,ui-log_月_6-1-2025_12-43-59.txt,task_12,17312.91,396.03,7429.94,66.969,64,0.5493,21739.97,363331.20,-242228.72,0.24,0.02,0.03,0.95,65,29,55946.64,265.26,229.81,17358.01,15113.85,6875.00,4571.43,344671.20,250000.00,0.42,71,148.61,0.07,1.04,54,6,4.83,0.52,3.59,0.0564,46,0.4852,489.26,44.07
